Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
Kona Love Coffee Co.,Medium Roast,92,Hawai,Big Island,Medium-Light,2.81,8,9,52,70,1,19.8968,-155.5828
Kona Love Coffee Co.,Dark Roast,91,Hawai,Big Island,Medium,2.81,8,9,46,64,2,19.8968,-155.5828
Cafe Kreyol,Colombia Geisha Natural,94,Virginia,Colombia,Medium-Light,4.37,9,9,60,76,1,4.0,-72.0
Cafe Kreyol,Pacas Estate El Salvador Natural,94,Virginia,El Salvador,Medium-Light,1.33,9,9,54,72,1,13.83,-88.92
Cafe Kreyol,Caribbean Blue,92,Virginia,Haiti,Medium-Light,1.33,9,9,58,78,1,19.0,-72.42
Cafe Kreyol,Colombia Caturra Anaerobic Natural,92,Virginia,Colombia,Medium-Light,3.12,9,9,60,76,1,4.0,-72.0
Cafe Kreyol,Cocaine for Coffee,92,Virginia,Bolivia,Medium-Light,1.08,9,9,58,76,1,-17.0,-65.0
JBC Coffee Roasters,Hunapu Natural Guatemala,94,Wisconsin,Guatemala,Medium-Light,1.58,9,9,56,76,1,15.5,-90.25
JBC Coffee Roasters,Kabiufa Papua New Guinea,95,Wisconsin,Guinea,Light,1.5,9,9,60,82,0,11.0,-10.0
Jackrabbit Java,Uganda Organic Sipi Falls Honey,93,Wyoming,Uganda,Medium-Light,1.5,9,9,56,74,1,1.0,32.0
JBC Coffee Roasters,Bedhatu Jibicho Natural,95,Wisconsin,Gedeb,Medium-Light,1.67,9,9,60,76,1,8.0,38.0
JBC Coffee Roasters,Sabana Redonda SL28 Costa Rica,94,Wisconsin,Costa Rica,Medium-Light,2.25,9,9,58,80,1,10.0,-84.0
JBC Coffee Roasters,Gigesa Ethiopia,93,Wisconsin,Ethiopia,Medium-Light,1.58,8,9,57,75,1,8.0,38.0
Jackrabbit Java,Ka’u Peaberry Hawai’i,92,Wyoming,Big Island,Medium-Light,3.21,9,9,58,78,1,19.8968,-155.5828
Paradise Roasters,Sumatra Siamang Forest,94,Minnesota,Sumatra,Medium-Light,2.08,9,9,54,72,1,-5.0,120.0
RamsHead Coffee Roasters,Yemen Jabal Nabi Special Reserve,94,Montana,Yemen,Medium-Light,3.49,9,9,57,73,1,15.0,48.0
