Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
Willoughby's Coffee & Tea,Finca Kilimanjaro Natural,92,Connecticut,El Salvador,Medium-Light,2.19,8,9,55,80,1,13.83,-88.92
Deeper Roots Coffee,Mario Aguilar Grand Cru El Salvador,91,Ohio,El Salvador,Medium,2.08,8,9,55,66,2,13.83,-88.92
Duluth Coffee,José Flores El Salvador Natural,91,Minnesota,El Salvador,Medium,2.81,8,9,53,67,2,13.83,-88.92
Lexington Coffee Roasters,Ethiopia Kayon Mountain Natural,94,Virginia,Ethiopia,Medium,1.75,9,9,50,70,2,8.0,38.0
Temple Coffee Roasters,Guatemala Guayabales Single-Origin Espresso,93,California,Guatemala,Medium,1.58,8,9,50,70,2,15.5,-90.25
Temple Coffee Roasters,Kenya Chania Estate,92,California,Kenya,Medium,1.92,9,9,47,65,2,1.0,38.0
Temple Coffee Roasters,Guatemala Los Santos,92,California,Guatemala,Medium-Light,1.58,9,9,54,74,1,15.5,-90.25
JBC Coffee Roasters,Geisha Village Auction Lot #11,94,Wisconsin,Ethiopia,Medium-Light,6.44,9,9,52,75,1,8.0,38.0
Dragonfly Coffee Roasters,Ethiopia Yirgacheffe Chelelektu Natural,96,Colorado,Ethiopia,Medium-Light,1.5,9,10,58,82,1,8.0,38.0
Caffe Luxxe,Kenya Kimaruri,94,California,Kenya,Medium-Light,1.92,9,9,54,72,1,1.0,38.0
Peach Coffee Roasters,Zambia Kateshi Natural,92,Georgia,Zambia,Medium-Light,1.42,9,9,52,70,1,-15.0,30.0
Greater Goods Coffee Roasters,Kenya Handege,94,Texas,Kenya,Medium,1.58,9,9,53,65,2,1.0,38.0
Kauai Coffee Company,Kauai Estate Reserve Sun-Dried Typica,90,Hawai,Hawaii,Medium-Light,6.0,8,8,60,78,1,19.8968,-155.5828
Paradise Roasters,Philippines Sitio Naguey Natural,90,Minnesota,Philippines,Medium-Light,2.37,8,8,52,70,1,13.0,122.0
JBC Coffee Roasters,Banco Gotete Ethiopia,93,Wisconsin,Ethiopia,Medium-Light,1.37,9,9,55,74,1,8.0,38.0
Barrington Coffee Roasting,Barichu Double,94,Massachusetts,Kenya,Medium-Light,3.33,9,9,53,75,1,1.0,38.0
Peach Coffee Roasters,GA 400 Espresso,93,Georgia,Colombia,Medium-Light,1.29,9,9,50,72,1,4.0,-72.0
Magnolia Coffee,Papua New Guinea Timuza,92,North Carolina,Guinea,Medium-Light,1.25,9,9,56,80,1,11.0,-10.0
JBC Coffee Roasters,Rukera Kenya,97,Wisconsin,Kenya,Medium-Light,1.77,10,10,54,78,1,1.0,38.0
JBC Coffee Roasters,Rukera Espresso,97,Wisconsin,Kenya,Medium-Light,1.77,10,10,54,78,1,1.0,38.0
Bird Rock Coffee Roasters,Colombia Pink Bourbon El Corazon,93,California,Colombia,Medium-Light,2.5,9,9,54,74,1,4.0,-72.0
SkyTop Coffee,Ethiopia Hambela 1 Organic Natural Alaka,92,New York,Ethiopia,Medium-Light,1.25,9,9,57,79,1,8.0,38.0
SkyTop Coffee,Brazil Ibicoara Chapada Diamantina Natural,91,New York,Brazil,Medium,1.25,8,9,52,68,2,-10.0,-55.0
SkyTop Coffee,Costa Rica Coto Brus-La Amistad,90,New York,Costa Rica,Medium-Light,1.25,8,8,58,80,1,10.0,-84.0
Collage Coffee,Karimikui AA Kenya,93,Pennsylvania,Kenya,Light,1.5,9,9,60,82,0,1.0,38.0
Big Shoulders Coffee,Peru Antonio Regalado Diaz El Huyacan La Palma,93,Illinois,Peru,Medium-Light,1.75,9,9,58,76,1,-10.0,-76.0
JBC Coffee Roasters,Bella Carmona Guatemala,93,Wisconsin,Guatemala,Medium-Light,1.32,8,9,52,74,1,15.5,-90.25
Flight Coffee Co.,Burundi Dukorerikawa Natural,93,New Hampshire,Burundi,Medium-Light,1.33,9,9,58,78,1,-3.5,30.0
Highwire Coffee Roasters,The Core Espresso,94,California,Ethiopia,Medium,1.44,9,9,45,67,2,8.0,38.0
Amavida Coffee Roasters,Espresso Mandarina,94,Florida,Congo,Medium,1.41,9,9,46,68,2,-1.0,15.0
Folly Coffee Roasters,SOB Espresso,94,Minnesota,Colombia,Medium,1.58,9,9,46,68,2,4.0,-72.0
Dragonfly Coffee Roasters,Crema de Dolce Espresso,93,Colorado,Indonesia,Medium-Light,1.17,8,9,52,70,1,-5.0,120.0
Paradise Roasters,Espresso Classico,93,Minnesota,Brazil,Medium,1.08,9,9,49,69,2,-10.0,-55.0
Paradise Roasters,Zambia Kateshi Natural Process,92,Minnesota,Zambia,Medium-Light,1.25,8,9,60,78,1,-15.0,30.0
JBC Coffee Roasters,La Belleza Colombia,94,Wisconsin,Colombia,Medium-Light,1.62,9,9,57,79,1,4.0,-72.0
Paradise Roasters,Colombia Pink Bourbon,94,Minnesota,Colombia,Medium-Light,2.08,9,9,56,74,1,4.0,-72.0
Steady State Roasting Company,Crystalina,94,California,Colombia,Medium-Light,1.67,9,9,60,78,1,4.0,-72.0
Cafe Virtuoso,Hawaiian Kona 100%,93,California,Big Island,Medium,5.0,9,9,50,70,2,19.8968,-155.5828
JBC Coffee Roasters,Ninety Plus Gesha Estates JBC Custom Lot #252,94,Wisconsin,Panama,Medium-Light,12.38,9,10,55,74,1,9.0,-80.0
Bird Rock Coffee Roasters,La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,96,California,Colombia,Medium-Light,7.5,9,10,57,83,1,4.0,-72.0
Bird Rock Coffee Roasters,Suyusama Colombia,92,California,Colombia,Medium-Light,1.58,9,9,55,72,1,4.0,-72.0
JBC Coffee Roasters,ASOPCAFA Espresso,91,Wisconsin,Colombia,Medium-Light,1.32,9,8,58,78,1,4.0,-72.0
JBC Coffee Roasters,ASOPCAFA Colombia,91,Wisconsin,Colombia,Medium-Light,1.32,9,8,58,79,1,4.0,-72.0
Amavida Coffee Roasters,Natural Burundi Nemba,92,Florida,Burundi,Light,1.66,9,9,63,82,0,-3.5,30.0
Paradise Roasters,Ka’u Champagne Natural,94,Minnesota,Big Island,Light,4.99,9,9,58,84,0,19.8968,-155.5828
Equator Coffees,Monarch Gesha,94,California,Big Island,Medium-Light,10.5,9,9,51,73,1,19.8968,-155.5828
Big Island Coffee Roasters,Puna Barrel-Aged,93,Hawai,Big Island,Medium-Light,3.1,9,9,54,78,1,19.8968,-155.5828
Big Island Coffee Roasters,Kona Peaberry,93,Hawai,Big Island,Medium-Light,2.9,9,9,50,72,1,19.8968,-155.5828
Hula Daddy Kona Coffee,Laura’s Reserve SL-28,93,Hawai,Big Island,Medium-Light,7.99,9,9,56,80,1,19.8968,-155.5828
Rusty's Hawaiian,Honey Typica,92,Hawai,Big Island,Medium-Light,3.0,9,9,52,74,1,19.8968,-155.5828
Three Chairs Specialty Turkish Coffee,Ka’u Typica Natural,92,Louisiana,Big Island,Medium-Light,4.0,9,9,57,77,1,19.8968,-155.5828
Greenwell Farms,Estate-Grown Mamo,90,Hawai,Big Island,Medium,6.25,8,9,52,68,2,19.8968,-155.5828
Beanfruit Coffee Co.,Colombia Las Joyas: Fidencio Martinez Lot,91,Mississippi,Colombia,Medium-Light,1.33,9,8,52,70,1,4.0,-72.0
Baba Java Coffee,Yemen Matari,93,Alabama,Yemen,Medium,3.5,9,9,49,66,2,15.0,48.0
Paradise Roasters,Borneo Sabah Arabica,90,Minnesota,Malaysia,Medium-Light,2.82,8,9,55,77,1,2.5,112.5
Caffeic,Colombia,90,Montana,Colombia,Medium,1.08,8,9,48,62,2,4.0,-72.0
Temple Coffee Roasters,D.R. Congo Muungano Co-Op,92,California,Congo,Medium-Light,1.54,9,9,53,70,1,-1.0,15.0
Cafe Virtuoso,Ethiopia Sidama Shantewene,95,California,Ethiopia,Medium-Light,1.58,9,9,58,82,1,8.0,38.0
JBC Coffee Roasters,Kivu Belt Lot 32 Espresso,93,Wisconsin,Rwanda,Medium-Light,1.35,9,9,52,74,1,-2.0,30.0
JBC Coffee Roasters,Kivu Belt Lot 32 Rwanda,92,Wisconsin,Rwanda,Medium-Light,1.35,8,9,57,79,1,-2.0,30.0
JBC Coffee Roasters,Bufcafe Rwanda,90,Wisconsin,Rwanda,Medium-Light,1.33,8,8,55,76,1,-2.0,30.0
PT's Coffee Roasting Co.,Café Granja La Esperanza Sudan Rume Natural,95,Kansas,Colombia,Medium,4.69,9,10,51,69,2,4.0,-72.0
Lexington Coffee Roasters,La Papaya Ecuador,92,Virginia,Ecuador,Medium-Light,1.92,9,9,56,75,1,-2.0,-77.5
Lexington Coffee Roasters,Aponte Colombia,90,Virginia,Colombia,Medium-Light,1.33,8,9,55,77,1,4.0,-72.0
Gracenote Coffee Roasters,Sumatra Tano Batak,94,Massachusetts,Sumatra,Medium-Light,1.5,9,9,55,68,1,-5.0,120.0
Paradise Roasters,Sumatra Pantan Musara,93,Minnesota,Sumatra,Medium-Light,1.66,9,9,58,75,1,-5.0,120.0
Barrington Coffee Roasting,Ketiara Sumatra,92,Massachusetts,Sumatra,Light,1.41,9,9,57,87,0,-5.0,120.0
Peach Coffee Roasters,Sumatra Lintong,95,Georgia,Sumatra,Medium,1.42,9,9,51,68,2,-5.0,120.0
Flight Coffee Co.,Tanzania Tarime AB,94,New Hampshire,Tanzania,Medium-Light,1.42,9,9,56,80,1,-6.0,35.0
Old Soul Co.,Colombia Monteblanco Purple Caturra Natural,90,California,Colombia,Light,1.58,8,8,60,84,0,4.0,-72.0
Durango Coffee Company,Brazil Para Ela Natural,93,Colorado,Brazil,Medium-Light,1.33,9,9,55,77,1,-10.0,-55.0
Corvus Coffee Roasters,Tumba Rwanda,92,Colorado,Rwanda,Medium-Light,1.42,9,9,56,80,1,-2.0,30.0
Jampot Poorock Abbey,Ethiopia Harrar,91,Michigan,Ethiopia,Medium-Dark,1.12,8,9,41,53,3,8.0,38.0
Jampot Poorock Abbey,KonAroma Direct Trade Kona,90,Michigan,Hawaii,Medium,3.0,8,8,47,55,2,19.8968,-155.5828
Wild Goose Coffee Roasters,Peru Chirinois,92,California,Peru,Medium-Light,1.5,9,9,56,76,1,-10.0,-76.0
Willoughby's Coffee & Tea,Ecuador Finca La Papaya,92,Connecticut,Ecuador,Medium-Light,1.81,9,9,54,78,1,-2.0,-77.5
Peach Coffee Roasters,Peru Natural Utcubamba,91,Georgia,Cuba,Medium-Light,1.25,8,9,53,77,1,21.5,-80.0
Wonderstate Coffee,Ecuador Los Eucaliptos,93,Wisconsin,Ecuador,Medium-Light,1.5,9,9,57,77,1,-2.0,-77.5
Paradise Roasters,Ecuador Pichincha Typica,93,Minnesota,Ecuador,Medium-Light,2.16,9,9,55,73,1,-2.0,-77.5
PT's Coffee Roasting Co.,Ecuador Finca Carolina Fausto Romo,93,Kansas,Ecuador,Medium-Light,1.96,9,9,54,76,1,-2.0,-77.5
Bird Rock Coffee Roasters,Finca Tasta Peru,93,California,Peru,Medium-Light,1.96,9,9,55,75,1,-10.0,-76.0
Greater Goods Coffee Roasters,Peru La Salina,93,Texas,Peru,Medium-Light,1.5,9,9,52,70,1,-10.0,-76.0
Big Creek Coffee Roasters,Ethiopia Hambela Alaka,93,Montana,Ethiopia,Medium-Light,1.33,9,9,55,77,1,8.0,38.0
Hala Tree Kona Coffee,100% Kona Bourbon,93,Hawai,Hawaii,Medium-Light,3.75,9,9,51,77,1,19.8968,-155.5828
Hala Tree Kona Coffee,Kona Naturals,92,Hawai,Hawaii,Medium-Light,3.75,9,9,50,74,1,19.8968,-155.5828
Big Creek Coffee Roasters,Rwanda Rulindo Tumba,91,Montana,Rwanda,Medium-Light,1.25,8,9,54,78,1,-2.0,30.0
Revel Coffee,Guatemala Quejina,92,Montana,Guatemala,Medium-Light,1.38,9,9,54,78,1,15.5,-90.25
Red Rooster Coffee Roaster,Flight Seasonal Espresso,94,Virginia,Costa Rica,Medium-Light,1.5,9,9,54,78,1,10.0,-84.0
Red Rooster Coffee Roaster,Costa Rica Las Lajas Black Honey,93,Virginia,Costa Rica,Medium-Light,1.62,9,9,54,74,1,10.0,-84.0
Greater Goods Coffee Roasters,Eaagads Estate Kenya,94,Texas,Kenya,Medium-Light,1.58,9,9,52,76,1,1.0,38.0
States Coffee & Mercantile,Ethiopia Guji,94,California,Ethiopia,Medium-Light,1.5,9,9,54,78,1,8.0,38.0
Dragonfly Coffee Roasters,Kenya Karindundu AA Small Lot Reserve,97,Colorado,Kenya,Medium-Light,1.5,10,10,54,78,1,1.0,38.0
Dragonfly Coffee Roasters,Rwanda Kanzu,94,Colorado,Rwanda,Medium-Light,2.0,9,9,55,77,1,-2.0,30.0
Dragonfly Coffee Roasters,Ethiopia Kochere Natural,94,Colorado,Ethiopia,Medium-Light,1.5,9,9,52,74,1,8.0,38.0
Temple Coffee Roasters,Kenya Thirikwa Single-Origin Espresso,94,California,Kenya,Medium,1.83,9,9,42,64,2,1.0,38.0
Thanksgiving Coffee Company,Mocha Java Blend Fair Trade Organic,92,California,Ethiopia,Medium-Light,1.21,9,9,48,78,1,8.0,38.0
Origin Coffee Roasters,Sumatra Tano Batak,95,Hawai,Sumatra,Medium-Light,1.75,9,9,54,76,1,-5.0,120.0
Origin Coffee Roasters,Colombia La Guamera Honey,92,Hawai,Colombia,Medium-Light,1.58,9,9,56,78,1,4.0,-72.0
Mystic Monk Coffee,Ethiopia Yirgacheffe,91,Wyoming,Ethiopia,Medium,1.17,8,8,42,62,2,8.0,38.0
Amavida Coffee Roasters,Rwanda Mushonyi Natural,94,Florida,Rwanda,Medium-Light,2.49,9,9,54,78,1,-2.0,30.0
Amavida Coffee Roasters,Rwanda Mushonyi,91,Florida,Rwanda,Medium-Light,2.49,8,9,58,80,1,-2.0,30.0
Speedwell Coffee,Ethiopia Washed Kochere,92,Massachusetts,Ethiopia,Medium-Light,1.5,9,9,55,77,1,8.0,38.0
Barrington Coffee Roasting,Feku Double,93,Massachusetts,Ethiopia,Medium-Light,3.33,9,9,56,80,1,8.0,38.0
Gracenote Coffee Roasters,Ethiopia Tadese Yonka,93,Massachusetts,Ethiopia,Medium-Light,1.58,9,9,54,78,1,8.0,38.0
Tandem Coffee,Nano Challa Ethiopia,93,Maine,Ethiopia,Medium-Light,1.5,9,9,55,77,1,8.0,38.0
Vermont Artisan Coffee & Tea,Kenya AB,94,Vermont,Kenya,Medium,1.5,9,9,47,69,2,1.0,38.0
Willoughby's Coffee & Tea,Ethiopia Hambela Natural Organic,94,Connecticut,Ethiopia,Medium-Light,1.25,9,9,52,76,1,8.0,38.0
Flight Coffee Co.,Tanzania Ngorongoro Ridge Peaberry,95,New Hampshire,Tanzania,Medium-Light,1.33,9,9,55,79,1,-6.0,35.0
Broadsheet Coffee,Bombe Natural Sidama,92,Massachusetts,Ethiopia,Medium-Light,1.75,9,9,54,76,1,8.0,38.0
Hula Daddy Kona Coffee,100% Kona Bourbon Pointu Laurina,95,Hawai,Hawaii,Medium-Light,5.62,9,9,52,74,1,19.8968,-155.5828
Turnstile Coffee Roasters,Ethiopia Haro Wachu,94,New Jersey,Ethiopia,Medium-Light,1.88,9,9,50,72,1,8.0,38.0
JBC Coffee Roasters,Banco Gotete Ethiopia,94,Wisconsin,Ethiopia,Medium-Light,1.54,9,9,53,75,1,8.0,38.0
JBC Coffee Roasters,ASOPAP Colombia,90,Wisconsin,Colombia,Medium-Light,1.32,8,8,55,77,1,4.0,-72.0
Flight Coffee Co.,Ethiopia Deri Kochoha,93,New Hampshire,Ethiopia,Medium-Light,1.42,9,9,56,80,1,8.0,38.0
Temple Coffee Roasters,Kenya Ruthaka Peaberry,95,California,Kenya,Medium,1.58,9,10,48,72,2,1.0,38.0
Temple Coffee Roasters,Ethiopia Gora Kone Sidamo,93,California,Ethiopia,Medium-Light,1.67,9,9,55,77,1,8.0,38.0
Café Grumpy,Honduras Las Flores Parainema,94,New York,Honduras,Medium-Light,1.83,9,9,56,80,1,15.0,-86.5
JBC Coffee Roasters,Kivu DR Congo,94,Wisconsin,Congo,Medium-Light,1.41,9,9,56,78,1,-1.0,15.0
Paradise Roasters,Ethiopia Yirgacheffe Awassa,93,Minnesota,Ethiopia,Medium-Light,1.5,9,9,56,74,1,8.0,38.0
Bird Rock Coffee Roasters,Panama Ninety Plus Perci Lot 50,97,California,Panama,Medium-Light,7.5,10,10,50,74,1,9.0,-80.0
Paradise Roasters,Colombia Geisha,94,Minnesota,Colombia,Medium-Light,2.16,9,9,53,77,1,4.0,-72.0
Red Rock Roasters,Select Reserve Guatemala El Aceituno “El Bonito” Microlot,91,New Mexico,Guatemala,Medium-Light,1.25,8,9,50,72,1,15.5,-90.25
Vienna Coffee Company,Foothills Series Hambela Ethiopia,91,Tennessee,Ethiopia,Medium-Light,1.46,8,9,56,76,1,8.0,38.0
Topeca Coffee Roasters,Ethiopia Gugi,93,Oklahoma,Ethiopia,Medium-Light,1.33,9,9,56,77,1,8.0,38.0
Topeca Coffee Roasters,Brazil Recreio Selectivo,92,Oklahoma,Brazil,Medium-Light,1.17,9,9,58,80,1,-10.0,-55.0
Red Rooster Coffee Roaster,Ethiopia WORKA,94,Virginia,Ethiopia,Medium-Light,1.5,9,9,60,80,1,8.0,38.0
Temple Coffee and Tea,Guatemala Hunapu,93,California,Guatemala,Medium-Light,1.46,9,9,56,70,1,15.5,-90.25
Red Rooster Coffee Roaster,Ethiopia Banko Dhadhato Washed,94,Virginia,Ethiopia,Light,1.5,9,9,62,82,0,8.0,38.0
Temple Coffee and Tea,Kenya Rugeto Peaberry,93,California,Kenya,Medium,1.67,9,9,47,64,2,1.0,38.0
JBC Coffee Roasters,Gayo Aceh Sumatra,92,Wisconsin,Sumatra,Medium-Light,1.33,9,9,56,76,1,-5.0,120.0
Willoughby's Coffee & Tea,Auromar Geisha Natural,93,Connecticut,Panama,Medium-Light,4.58,9,9,53,75,1,9.0,-80.0
Olympia Coffee Roasting,Holiday Blend,93,Washington,Ethiopia,Medium-Light,1.62,9,9,56,80,1,8.0,38.0
Revel Coffee,Kith & Kin,93,Montana,Ethiopia,Medium-Light,1.46,9,9,54,78,1,8.0,38.0
Speckled Ax,El Salvador Pacamara,92,Maine,El Salvador,Medium-Light,2.08,9,9,55,75,1,13.83,-88.92
Steadfast Coffee,Guji Oraga Tabe,92,Tennessee,Ethiopia,Medium-Light,1.92,9,9,52,76,1,8.0,38.0
Joe Van Gogh Coffee,Colombia El Obraje Gesha,94,North Carolina,Colombia,Medium-Light,4.0,9,9,54,74,1,4.0,-72.0
Red Rooster Coffee Roaster,Holiday Sweet Blend,94,Virginia,Colombia,Medium-Light,1.42,9,9,54,76,1,4.0,-72.0
Bird Rock Coffee Roasters,Camilina Geisha,94,California,Panama,Medium-Light,5.62,9,9,54,78,1,9.0,-80.0
Willoughby's Coffee & Tea,Mama Cata Geisha Washed,94,Connecticut,Panama,Medium-Light,4.5,9,9,56,84,1,9.0,-80.0
Willoughby's Coffee & Tea,Panama Finca Lerida Geisha Black Honey,93,Connecticut,Panama,Medium-Light,3.33,9,9,50,75,1,9.0,-80.0
Willoughby's Coffee & Tea,Panama Finca Lerida Geisha Washed,93,Connecticut,Panama,Medium-Light,3.33,9,9,57,79,1,9.0,-80.0
Ben's Beans,Ethiopia Kayon Mountain,93,Connecticut,Ethiopia,Medium-Light,1.41,9,9,53,73,1,8.0,38.0
Temple Coffee and Tea,Ethiopia Reko,91,California,Ethiopia,Medium-Light,1.58,8,9,53,73,1,8.0,38.0
Espresso Republic,Perla del Otún,91,California,Colombia,Medium-Light,1.25,8,8,54,74,1,4.0,-72.0
Espresso Republic,Decaf Classic Espresso,90,California,Colombia,Medium,1.41,8,8,44,60,2,4.0,-72.0
Espresso Republic,Colombia El Sauce,90,California,Colombia,Medium-Light,1.16,8,8,51,71,1,4.0,-72.0
Bird Rock Coffee Roasters,Kiunyu Peaberry,94,California,Kenya,Medium-Light,2.17,9,9,52,76,1,1.0,38.0
JBC Coffee Roasters,El Aguila SL28 El Salvador,93,Wisconsin,El Salvador,Medium-Light,1.62,8,9,57,80,1,13.83,-88.92
Temple Coffee and Tea,Costa Rica Volcán Azúl Single-Origin Espresso,92,California,Costa Rica,Medium,1.79,9,9,48,57,2,10.0,-84.0
Hula Daddy Kona Coffee,Kona Mocca®,96,Hawai,Hawaii,Medium,5.62,9,10,46,64,2,19.8968,-155.5828
Lexington Coffee Roasters,Kibugu Kenya,95,Virginia,Kenya,Medium-Light,1.66,9,9,54,74,1,1.0,38.0
Branch Street Coffee Roasters,Kenya Gikirima Kibugu,94,Ohio,Kenya,Medium-Light,1.62,9,9,56,74,1,1.0,38.0
Lexington Coffee Roasters,Quejina Guatemala,90,Virginia,Guatemala,Medium-Light,1.42,8,8,53,77,1,15.5,-90.25
Mystic Monk Coffee,Christmas Blend,90,Wyoming,Ethiopia,Medium,1.25,8,8,47,65,2,8.0,38.0
Mystic Monk Coffee,Thanksgiving Blend,90,Wyoming,Indonesia,Medium,1.17,8,8,42,62,2,-5.0,120.0
Dragonfly Coffee Roasters,Elida Estate Geisha Natural Dragonfly Reserve,95,Colorado,Panama,Medium-Light,8.75,9,9,54,78,1,9.0,-80.0
Dragonfly Coffee Roasters,Costa Rica Geisha Honey COE 2018 2nd Place,94,Colorado,Costa Rica,Medium-Light,5.62,9,9,50,76,1,10.0,-84.0
Bird Rock Coffee Roasters,La Providencia Guatemala Maragogype,94,California,Guatemala,Medium-Light,1.75,9,9,56,78,1,15.5,-90.25
Augie's Coffee Roasters,Finca Insul Guatemala Pacamara,93,California,Guatemala,Medium-Light,1.5,9,9,55,75,1,15.5,-90.25
Barrington Coffee Roasting,Cuxinales Guatemala,93,Massachusetts,Guatemala,Medium-Light,1.58,9,9,56,78,1,15.5,-90.25
Red Rooster Coffee Roaster,El Salvador Finca El Cerro Pacamara Black Honey,93,Virginia,El Salvador,Medium-Light,1.67,9,9,57,77,1,13.83,-88.92
Equator Coffees,El Salvador Finca Himalaya Pacamara,92,California,El Salvador,Medium-Light,1.62,9,9,52,74,1,13.83,-88.92
Vienna Coffee Company,Foxfire Espresso,92,Tennessee,Brazil,Medium,1.25,8,9,46,68,2,-10.0,-55.0
Durango Coffee Company,Ethiopia Misti Valley,93,Colorado,Ethiopia,Medium,1.41,9,9,50,70,2,8.0,38.0
North Coast Coffee Roasting,Ethiopia Guji,90,California,Ethiopia,Medium-Light,1.35,8,8,52,74,1,8.0,38.0
Klatch Coffee,Kenya Kabingara,94,California,Kenya,Medium-Light,1.66,9,9,58,80,1,1.0,38.0
Grounds for Change,Guatemala Huehuetenango,92,Washington,Guatemala,Medium,1.02,9,9,43,63,2,15.5,-90.25
Steady State Roasting Company,Adanech Ethiopia Guji,91,California,Ethiopia,Light,1.5,8,9,58,84,0,8.0,38.0
Steady State Roasting Company,El Salvador Loma La Gloria Black Honey,91,California,El Salvador,Medium-Light,1.46,8,9,52,74,1,13.83,-88.92
Branch Street Coffee Roasters,Kenya Konyu,95,Ohio,Kenya,Medium-Light,1.62,9,9,57,81,1,1.0,38.0
Magnolia Coffee,Guatemala Finca San Gerardo,92,North Carolina,Guatemala,Medium-Light,1.25,9,9,52,72,1,15.5,-90.25
Dragonfly Coffee Roasters,Hacienda La Esmeralda Cabana Geisha Natural,95,Colorado,Panama,Medium-Light,9.38,9,9,57,83,1,9.0,-80.0
Dragonfly Coffee Roasters,Finca La Aurora Camilina Geisha,96,Colorado,Panama,Medium-Light,5.62,9,10,56,76,1,9.0,-80.0
Barrington Coffee Roasting,Twenty Five,96,Massachusetts,Ethiopia,Medium-Light,1.2,9,9,50,74,1,8.0,38.0
Oceana Coffee,Costa Rica Microlot Series San Cristobal Natural,92,Florida,Costa Rica,Medium-Light,1.83,9,9,54,75,1,10.0,-84.0
Barrington Coffee Roasting,La Union (Colombia),91,Massachusetts,Colombia,Medium-Light,1.29,8,9,58,80,1,4.0,-72.0
Temple Coffee and Tea,Colombia Luis Alberto Montoya Antioquia,92,California,Colombia,Medium-Light,1.54,9,9,51,73,1,4.0,-72.0
JBC Coffee Roasters,Karimikui Kenya,94,Wisconsin,Kenya,Medium-Light,1.62,9,9,55,75,1,1.0,38.0
Temple Coffee and Tea,Kenya Baragwi Thimu Peaberry,94,California,Kenya,Medium-Light,1.62,9,9,52,74,1,1.0,38.0
JBC Coffee Roasters,Kariru Kenya,94,Wisconsin,Kenya,Medium-Light,1.62,9,9,56,75,1,1.0,38.0
Dragonfly Coffee Roasters,Esmeralda Estate Porton Geisha Natural,96,Colorado,Panama,Medium-Light,9.38,9,10,56,84,1,9.0,-80.0
Revel Coffee,Kenya Kiambu,94,Montana,Kenya,Medium-Light,1.4,9,9,53,81,1,1.0,38.0
Big Creek Coffee Roasters,Kenya Gatuya,93,Montana,Kenya,Medium,1.42,9,9,50,70,2,1.0,38.0
Caffeic,Ethiopia,93,Montana,Ethiopia,Medium-Light,1.12,9,9,56,82,1,8.0,38.0
Evans Brothers Coffee Roasters,Kenya Gatuyaini,93,Idaho,Kenya,Medium-Light,1.38,9,9,51,79,1,1.0,38.0
Mystic Monk Coffee,Kenya AA Top Lot,93,Wyoming,Kenya,Medium,1.0,9,9,46,74,2,1.0,38.0
Sweet Bloom Coffee Roasters,Kenya Kainamui,93,Colorado,Kenya,Medium-Light,1.67,9,9,50,80,1,1.0,38.0
Corvus Coffee Roasters,Kenya Kariru PB,92,Colorado,Kenya,Light,1.75,9,9,56,88,0,1.0,38.0
Desert Sun Coffee Roasters,Organic Ethiopia Sidama Natural,92,Colorado,Ethiopia,Medium-Light,1.33,9,9,51,73,1,8.0,38.0
Durango Coffee Company,Kenya Mwiria,92,Colorado,Kenya,Medium-Light,1.41,9,9,50,74,1,1.0,38.0
Jackrabbit Java,Colombia Narino Excelsio,92,Wyoming,Colombia,Medium-Light,1.0,9,9,53,77,1,4.0,-72.0
Big Creek Coffee Roasters,Kenya AA Kirinyaga,93,Montana,Kenya,Medium-Light,1.42,9,9,56,80,1,1.0,38.0
Big Shoulders Coffee,Ethiopia Limu,93,Illinois,Ethiopia,Medium-Light,1.5,9,9,54,84,1,8.0,38.0
Big Creek Coffee Roasters,Ethiopia Bensa Segra Natural,93,Montana,Ethiopia,Medium-Light,1.33,9,9,53,85,1,8.0,38.0
Big Shoulders Coffee,Ethiopia Hambela Natural,94,Illinois,Ethiopia,Medium-Light,1.5,9,9,56,82,1,8.0,38.0
Big Creek Coffee Roasters,Ethiopia Kayon Mountain,93,Montana,Ethiopia,Medium-Light,1.33,9,9,56,84,1,8.0,38.0
Big Creek Coffee Roasters,Guatemala Huehuetenango La Garita,92,Montana,Guatemala,Medium-Light,1.25,9,9,54,78,1,15.5,-90.25
Greater Goods Coffee Roasters,Roba Ethiopia (Chelbessa),93,Texas,Gedeb,Medium-Light,1.5,9,9,55,79,1,8.0,38.0
Revel Coffee,Ethiopia Hambela Hasam,93,Montana,Ethiopia,Medium-Light,1.42,9,9,52,80,1,8.0,38.0
Revel Coffee,Kenya Kabare AA,93,Montana,Kenya,Medium-Light,1.46,9,9,53,79,1,1.0,38.0
Red Rock Roasters,El Salvador Finca Nombre de Dios Honey,92,New Mexico,El Salvador,Medium-Light,1.15,9,9,50,74,1,13.83,-88.92
Temple Coffee and Tea,Ethiopia Gera Limmu Oromia,94,California,Ethiopia,Medium-Light,1.46,9,9,58,82,1,8.0,38.0
Temple Coffee and Tea,Kenya Kabare Konyu,94,California,Kenya,Medium-Light,1.71,9,9,54,80,1,1.0,38.0
Temple Coffee and Tea,Costa Rica Francisco Ruiz,90,California,Costa Rica,Medium-Light,1.75,8,9,52,76,1,10.0,-84.0
JBC Coffee Roasters,Alemu Bukato Espresso,95,Wisconsin,Ethiopia,Medium-Light,1.56,9,9,56,80,1,8.0,38.0
