Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Paradise Roasters,Colombia Finca La Primavera Sidra,96,"Minneapolis, Minnesota","Huila, Colombia",Light,64/82,$48.00/12 ounces,March2022,9,9,9,10,9,,
SkyTop Coffee,Ethiopia Anaerobic Shantawene,94,"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/80,$20.00/12 ounces,March2022,9,9,9,9,8,,
Jaunt Coffee Roasters,Ethiopia Bensa Asefa Qonqana,94,"San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,64/86,$26.00/12 ounces,March2022,9,9,9,9,8,,
Magnolia Coffee,Ethiopia Durato Bombe,94,"Charlotte, North Carolina","Bombe mountains, Sidama Region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March2022,9,9,9,9,8,,
SkyTop Coffee,Ethiopia Washed Shantawene,94,"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,60/78,$20.00/12 ounces,March2022,9,9,9,9,8,,
David's Nose,Honduras Blue Hole Estate,93,"Taipei, Taiwan",Honduras,Medium-Light,58/76,NT $400/8 ounces,March2022,9,8,9,9,8,,
Old Soul Co.,Democratic Republic of Congo Mighty Peace Mapendo,93,"Sacramento, California","Lake Kivu, Democratic Republic of Congo",Medium-Light,56/74,$20.00/12 ounces,March2022,9,9,8,9,8,,
JBC Coffee Roasters,Lugmapata Ecuador,95,"Madison, Wisconsin","Pallatanga, Chimborazo Province, Ecuador",Medium-Light,60/80,$18.00/8 ounces,March2022,9,9,9,9,9,,
Nostalgia Coffee Roasters,Red Sunset by Andres Cardona,94,"San Diego, California","Santa Bárbara, Antioquia Department, Colombia",Medium-Light,55/73,$24.00/12 ounces,March2022,9,9,9,9,8,,
JBC Coffee Roasters,Macarena Colombia,94,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,60/78,$18.00/8 ounces,March2022,9,9,9,9,8,,
JBC Coffee Roasters,Haraaz Red Yemen,94,"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",Medium-Light,58/78,$25.00/8 ounces,March2022,9,9,9,9,8,,
Nostalgia Coffee Roasters,Nicaragua Sabino Maria,93,"San Diego, California","Jinotega Department, Nicaragua",Medium-Light,58/78,$21.00/12 ounces,March2022,9,9,8,9,8,,
JBC Coffee Roasters,Twisted V.7 Espresso,93,"Madison, Wisconsin",Central America; South America; Ethiopia,Medium-Light,52/74,$17.00/12 ounces,March2022,9,,8,9,8,9,
Tipico Coffee,El Salvador Anarquia Pacamara,94,"Buffalo, New York","Apaneca, El Salvador",Light,60/82,$22.00/12 ounces,March2022,9,9,9,9,8,,
Chaos Coffee Co.,Tanzania Peaberry,93,"Bayboro, North Carolina",Tanzania,Medium-Light,56/72,$14.50/12 ounces,March2022,9,8,9,9,8,,
Tipico Coffee,Ethiopia Karamo Natural,93,"Buffalo, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/76,$17.75/12 ounces,March2022,9,8,9,9,8,,
Tipico Coffee,Guatemala Reserve Las Moritas Yellow Pacamara,93,"Buffalo, New York","El Progresso Department, Guatemala",Medium-Light,57/77,$22.00/12 ounces,March2022,9,8,9,9,8,,
Bird Rock Coffee Roasters,Colombia Sidra Natural Signature Selection,96,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Light,62/80,$69.00/6 ounces,March2022,9,9,9,10,9,,
Paradise Roasters,Colombia Finca El Paraiso Geisha Letty,97,"Minneapolis, Minnesota","Cauca, Colombia",Light,64/84,$40.00/4 ounces,February2022,10,9,9,10,9,,
Monarch Coffee,Monarch Estate Pacamara,94,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/80,$40.95/4 ounces,February2022,9,9,9,9,8,,
Paradise Roasters,Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,94,"Minneapolis, Minnesota","Holualoa, Kona growing region, Big Island of Hawai’i",Medium-Light,56/72,$40.00/4 ounces,February2022,9,9,9,9,8,,
Paradise Roasters,Ka’u IPA Natural,95,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/78,$25.00/4 ounces,February2022,9,9,9,9,9,,
Paradise Roasters,Honduras Finca Cerro Azul Yellow Pacas,93,"Minneapolis, Minnesota","Siguatepeque, Comayagua Department, Honduras",Medium-Light,60/78,$18.00/6 ounces,February2022,9,8,9,9,8,,
Paradise Roasters,Ecuador Finca Lugmapata Mejorado,95,"Minneapolis, Minnesota","Pallatanga, Chimborazo, Ecuador",Light,64/80,$18.00/6 ounces,February2022,9,9,9,9,9,,
Monarch Coffee,Monarch Estate Hawaiian Gesha,92,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/74,$42.00/4 ounces,February2022,9,8,8,9,8,,
Monarch Coffee,‘Ōpio Kona,91,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,52/70,$26.00/8 ounces,February2022,8,8,9,8,8,,
Paradise Roasters,Hawai’i Ka’u Classic Dark,92,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium,46/60,$20.00/4 ounces,February2022,9,8,8,9,8,,
Oak & Bond Coffee Company,Guatemala Finca Buena Esperanza,93,"Charlotte, North Carolina","Huehuetenango, Guatemala",Medium-Light,58/78,$19.00/12 ounces,February2022,9,9,8,9,8,,
Oak & Bond Coffee Company,Session Blend,93,"Charlotte, North Carolina",Guatemala; Ethiopia,Medium-Light,56/74,$17.50/12 ounces,February2022,9,8,9,9,8,,
A&E Coffee & Tea,Honduras Relationship Coffee Norma Lara,93,"Nashua, New Hampshire","Ocotepeque Department, Honduras",Medium-Light,58/78,$17.99/12 ounces,February2022,9,8,9,9,8,,
Jaunt Coffee Roasters,Ethiopia Hambela Goro,92,"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,$25.00/12 ounces,February2022,9,8,8,9,8,,
A&E Coffee & Tea,Sumatra Batak Triple-Picked,92,"Nashua, New Hampshire","Lintong growing region, Sumatra, Indonesia",Medium-Light,54/72,$17.99/12 ounces,February2022,9,8,8,9,8,,
A&E Coffee & Tea,Honduras COMSA Natural,92,"Nashua, New Hampshire","Marcala, La Paz Department, Honduras",Medium-Light,54/72,$15.99/12 ounces,February2022,8,9,8,9,8,,
JBC Coffee Roasters,Shakiso Natural,94,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,$19.00/12 ounces,February2022,9,9,9,9,8,,
JBC Coffee Roasters,Cerro Azul Geisha Honey Process,94,"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",Medium-Light,58/76,$36.00/8 ounces,February2022,9,9,9,9,8,,
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon Natural Anaerobic,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/76,$49.95/8 ounces,February2022,9,9,9,9,9,,
Red Rooster Coffee Roaster,El Salvador Finca Mileydi Pacamara,95,"Floyd, Virginia","Cantón El Tunel, La Palma, Chalatenango, El Salvador",Medium-Light,60/78,$24.99/12 ounces,February2022,9,9,9,9,9,,
Red Rooster Coffee Roaster,El Salvador Las Veraneras Red Bourbon,94,"Floyd, Virginia",Apaneca Ilamatepec mountain range,Medium-Light,58/78,$18.99/12 ounces,February2022,9,9,9,9,8,,
Drink Coffee Do Stuff,Colombia Aromas de Sur,93,"Truckee, California","Huila Department, Colombia",Medium-Light,58/78,$23.00/12 ounces,February2022,9,8,9,9,8,,
Battlecreek Coffee,Costa Rica Termico,91,"Battle Creek, Michigan","Tarrazu growing region, Costa Rica",Light,64/84,$20.00/12 ounces,February2022,8,8,9,9,7,,
Metropolis Coffee,Schweik’s Blend,94,"Chicago, Illinois",Africa,Light,62/80,$11.75/10.5 ounces,February2022,9,9,9,9,8,,
Old Soul Co.,Whiskey Dreams Moka Java,94,"Sacramento, California",Indonesia; Ethiopia,Medium-Light,58/76,$18.00/12 ounces,February2022,9,9,9,9,8,,
Charlotte Coffee Company,704 Blend,93,"Charlotte, North Carolina",Papua New Guinea; Guatemala,Medium,52/68,$16.00/12 ounces,February2022,9,8,9,9,8,,
Nostalgia Coffee Roasters,Memory Lane,93,"San Diego, California",Brazil; Guatemala; Indonesia,Medium-Light,52/70,$18.00/12 ounces,February2022,9,8,9,9,8,,
Succulent Coffee Roasters,New Wave Blend,93,"Newport Beach, California",Colombia; Ethiopia,Medium-Light,57/77,$17.00/12 ounces,February2022,9,9,8,9,8,,
Battle Creek Coffee Roasters,House Blend,92,"Battle Creek, Michigan",Ethiopia; Guatemala,Medium-Light,60/78,$16.00/12 ounces,February2022,9,8,8,9,8,,
Three Keys Coffee,Mo’ Better Brews Bleek & Indigo Blend,92,"Houston, Texas",Colombia; Ethiopia,Medium-Light,56/72,$16.00/12 ounces,February2022,9,8,8,9,8,,
JBC Coffee Roasters,Karindundu Kenya,94,"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,58/78,$22.00/12 ounces,February2022,9,9,9,9,8,,
Kona Love Coffee Co.,Medium Roast,92,"Holualoa, Hawaii","Holualoa, North Kona, Big Island of Hawai’i",Medium-Light,52/70,$45.00/16 ounces,February2022,8,8,9,9,8,,
Kona Love Coffee Co.,Dark Roast,91,"Holualoa, Hawai’i","Holualoa, North Kona, Big Island of Hawai’i",Medium,46/64,$45.00/16 ounces,February2022,8,8,9,9,7,,
Cafe Kreyol,Colombia Geisha Natural,94,"Manassas, Virginia","Tolima Department, Colombia",Medium-Light,60/76,$34.95/8 ounces,February2022,9,9,9,9,8,,
Cafe Kreyol,Pacas Estate El Salvador Natural,94,"Manassas, Virginia","Los Naranjos, Juayua, Sonsonate, El Salvador",Medium-Light,54/72,$15.99/12 ounces,February2022,9,9,9,9,8,,
Cafe Kreyol,Caribbean Blue,92,"Manassas, Virginia","Dondon, Haiti",Medium-Light,58/78,$15.99/12 ounces,February2022,9,8,8,9,8,,
Cafe Kreyol,Colombia Caturra Anaerobic Natural,92,"Manassas, Virginia","Tolima Department, Colombia",Medium-Light,60/76,$24.95/8 ounces,February2022,9,8,8,9,8,,
Cafe Kreyol,Cocaine for Coffee,92,"Manassas, Virginia",Bolivia,Medium-Light,58/76,$12.99/12 ounces,February2022,9,8,8,9,8,,
JBC Coffee Roasters,Hunapu Natural Guatemala,94,"Madison, Wisconsin","Antigua, Guatemala",Medium-Light,56/76,$19.00/12 ounces,January2022,9,9,9,9,8,,
JBC Coffee Roasters,Kabiufa Papua New Guinea,95,"Madison, Wisconsin","Kabiufa, Eastern Highlands, Papua New Guinea",Light,60/82,$18.00/12 ounces,January2022,9,9,9,9,9,,
Jackrabbit Java,Uganda Organic Sipi Falls Honey,93,"Thermopolis, Wyoming","Sipi Falls, Bugisu Region, Uganda",Medium-Light,56/74,$18.00/12 ounces,January2022,9,8,9,9,8,,
JBC Coffee Roasters,Bedhatu Jibicho Natural,95,"Madison, Wisconsin","Gedeb District, Gedeo Zone, southern",Medium-Light,60/76,$20.00/12 ounces,January2022,9,9,9,9,9,,
JBC Coffee Roasters,Sabana Redonda SL28 Costa Rica,94,"Madison, Wisconsin","Sabanilla de Alajuela, Central Valley, Costa Rica",Medium-Light,58/80,$18.00/8 ounces,January2022,9,9,9,9,8,,
JBC Coffee Roasters,Gigesa Ethiopia,93,"Madison, Wisconsin","Guji Zone, Oromia Region, Ethiopia",Medium-Light,57/75,$19.00/12 ounces,January2022,8,9,9,9,8,,
Jackrabbit Java,Ka’u Peaberry Hawai’i,92,"Thermopolis, Wyoming","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/78,$38.50/12 ounces,January2022,9,8,8,9,8,,
Paradise Roasters,Sumatra Siamang Forest,94,"Minneapolis, Minnesota","Simalungun, Sumatra, Indonesia",Medium-Light,54/72,$25.00/12 ounces,January2022,9,9,9,9,8,,
RamsHead Coffee Roasters,Yemen Jabal Nabi Special Reserve,94,"Bozeman, Montana","Hayma Dakhiliya growing region, Sana’a Governorate, Yemen",Medium-Light,57/73,$13.95/4 ounces,January2022,9,9,9,9,8,,
RamsHead Coffee Roasters,Kenya Gakuyuini AA,94,"Bozeman, Montana","Kirinyaga County, south-central Kenya",Medium-Light,58/76,$16.95/12 ounces,January2022,9,9,8,9,9,,
Conscious Cup Coffee Roasters,Colombia Manos Juntas,92,"Crystal Lake, Illinois","Cauca, Colombia",Medium-Light,60/77,$29.00/12 ounces,January2022,9,8,8,9,8,,
Conscious Cup Coffee Roasters,Ethiopia Guji Goro Bedessa,93,"Crystal Lake, Illinois","Guji Zone, Ethiopia",Medium-Light,60/77,$24.00/12 ounces,January2022,9,9,8,9,8,,
modcup coffee,Hacienda Esmeralda Ethiopian Accessions,95,"Jersey City, New Jersey","Boquete, Panama",Light,62/80,$25.00/8 ounces,January2022,9,9,9,9,9,,
Corvus Coffee Roasters,Gelena Geisha,94,"Denver, Colorado","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,60/78,$19.00/12 ounces,January2022,9,8,9,9,9,,
modcup coffee,Ethiopia Anaerobic Natural,94,"Jersey City, New Jersey","Sidama (also Sidamo) growing region, southern Ethiopia",Medium-Light,59/77,$25.00/8 ounces,January2022,9,9,9,9,8,,
Corvus Coffee Roasters,Silver Monk Seasonal Blend,92,"Denver, Colorado","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,59/75,$19.00/12 ounces,January2022,9,8,8,9,8,,
Folklore Coffee,Holiday Reserve Roast — Costa Rica Termico,92,"Conrad, Montana","Tarrazu, Costa Rica",Medium-Light,58/74,$25.00/12 ounces,January2022,9,8,9,9,8,,
Metropolis Coffee,Redline Espresso,92,"Chicago, Illinois",Not disclosed,Medium,52/69,$11.75/10.5 ounces,January2022,9,,8,9,7,9,
Metropolis Coffee,La Cordillera Blend,90,"Chicago, Illinois",Not disclosed,Medium-Light,58/74,$11.75/10.5 ounces,January2022,9,8,8,8,7,,
Metropolis Coffee,Decaf Xeno’s Fair Trade Organic Blend,88,"Chicago, Illinois",Not disclosed,Medium,52/68,$12.25/10.5 ounces,January2022,8,7,8,8,7,,
Metropolis Coffee,Skyway Fair Trade Organic Blend,86,"Chicago, Illinois",Not disclosed,Medium-Dark,42/57,$12.25/10.5 ounces,January2022,8,7,7,7,7,,
Metropolis Coffee,Granville Fair Trade Organic Blend,86,"Chicago, Illinois",Not disclosed,Medium-Light,58/78,$12.25/10.5 ounces,January2022,7,7,7,8,7,,
Metropolis Coffee,Spice Island Blend,87,"Chicago, Illinois",Not disclosed,Medium,46/62,$11.75/10.5 ounces,January2022,8,7,7,8,7,,
Paradise Roasters,Kona Tropical Punch Washed,94,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,60/76,$25.00/4 ounces,January2022,9,9,9,9,8,,
JBC Coffee Roasters,Gatomboya Kenya,93,"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,56/78,$22.00/12 ounces,January2022,9,8,9,9,8,,
Old World Coffee Lab,Ethiopia Banko Gotiti Daniel Mijane,92,"Reno, Nevada","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,January2022,9,8,8,9,8,,
Paradise Roasters,Ka’u Bourbon Champagne Natural,94,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/76,$30.00/4 ounces,January2022,9,9,9,9,8,,
Old World Coffee Lab,Ethiopia Bedhatu Natural,93,"Reno, Nevada","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,54/72,$20.50/12 ounces,January2022,9,8,9,9,8,,
Old World Coffee Lab,Ethiopia Bedhatu Washed,92,"Reno, Nevada","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,58/78,$20.00/12 ounces,January2022,9,8,8,9,8,,
Old World Coffee Lab,Colombia Huila Palmera,88,"Reno, Nevada",Huila Colombia,Medium-Light,54/72,$17.00/12 ounces,January2022,8,7,8,8,7,,
JBC Coffee Roasters,Cerro Azul Geisha,95,"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",Medium-Light,58/80,$30.00/8 ounces,December2021,9,9,9,9,9,,
Paradise Roasters,Panama Mama Cata Geisha Champagne Natural,95,"Minneapolis, Minnesota","Boquete growing region, Panama",Light,64/88,$50.00/4 ounces,December2021,9,9,9,9,9,,
Paradise Roasters,Ethiopia Yirgacheffe Worka Sakaro,95,"Minneapolis, Minnesota","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,57/79,$25.00/12 ounces,December2021,9,9,9,9,9,,
JBC Coffee Roasters,Haraaz Red,93,"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",Medium-Light,56/74,$20.00/8 ounces,December2021,9,8,9,9,8,,
Bird Rock Coffee Roasters,El Socorro Maracaturra,95,"San Diego, California","Palencia, Guatemala",Medium-Light,60/74,$26.00/12 ounces,December2021,9,9,9,9,9,,
Jaunt Coffee Roasters,Guatemala Acatenango Gesha,94,"San Diego, California","Acatenango, Guatemala",Light,62/80,$24.00/8 ounces,December2021,9,9,9,9,8,,
Revel Coffee,Costa Rica Luis Campos Termico,93,"Billings, Montana","Tarrazu, Costa Rica",Medium-Light,58/78,$26.00/12 ounces,December2021,9,8,9,9,8,,
El Gran Cafe,Espresso No. 2,91,"Antigua, Guatemala","Alotenango, Antigua, Guatemala",Medium-Light,56/77,$13.00/12 ounces,December2021,8,,8,8,8,9,
El Gran Cafe,Finca Huixoc Maracaturra,90,"Antigua, Guatemala","Huehuetenango Department, Guatemala",Medium-Light,58/73,$13.00/12 ounces,December2021,8,8,8,8,8,,
El Gran Cafe,Finca Santa Isabel,90,"Antigua, Guatemala","Cobán, Alta Verapaz Department, Guatemala",Light,63/80,$13.00/12 ounces,December2021,8,8,8,8,8,,
El Gran Cafe,Proyecto Aurora,92,"Antigua, Guatemala","Antigua, Guatemala",Medium-Light,56/68,$10.00/12 ounces,December2021,9,8,8,9,8,,
El Gran Cafe,Las Moritas Yellow Caturra,87,"Antigua, Guatemala","El Progresso Department, Guatemala",Light,58/84,$13.00/12 ounces,December2021,8,7,7,8,7,,
El Gran Cafe,El Pintado Classico,87,"Antigua, Guatemala","Antigua, Guatemala",Light,65/79,$16.50/12 ounces,December2021,8,7,7,8,7,,
El Gran Cafe,5a Poniente,88,"Antigua, Guatemala","Antigua, Guatemala",Medium,48/56,$5.00/12 ounces,December2021,8,7,8,8,7,,
El Gran Cafe,Esperanza Villa Sarchi,90,"Antigua, Guatemala","Antigua, Guatemala",Light,66/84,$16.50/12 ounces,December2021,8,8,8,8,8,,
El Gran Cafe,Esperanza Bourbon,92,"Antigua, Guatemala","Antigua, Guatemala",Medium-Light,59/76,$16.50/12 ounces,December2021,8,9,8,9,8,,
El Gran Cafe,Finca San Carlos,88,"Antigua, Guatemala","Antigua, Guatemala",Light,63/83,$13.00/12 ounces,December2021,8,7,7,8,7,,
El Gran Cafe,5a Sur,89,"Antigua, Guatemala","Antigua, Guatemala",Medium,52/64,$5.00/12 ounces,December2021,8,7,8,9,7,,
Difference Coffee,Hacienda La Esmeralda Montañas 71AS,96,"London, England","Boquete growing region, western Panama",Medium-Light,59/77,£100/150-gram packet,December2021,9,9,9,10,9,,
Collage Coffee,Ethiopia Nano Genji #5,93,"Grove City, Pennsylvania","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/78,$16.00/10 ounces,December2021,9,9,8,9,8,,
States Coffee,Ethiopia Yirgacheffe Aramo,93,"Martinez, California","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,58/78,$12.00/8 ounces,December2021,9,9,8,9,8,,
States Coffee,Kenya Nyeri Gatomboya,94,"Martinez, California","Nyeri growing region, south-central Kenya",Medium-Light,57/77,$12.00/8 ounces,December2021,9,9,9,9,8,,
States Coffee,Subrosa Ethiopia Kayon Mountain Organic Natural,93,"Martinez, California","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",Medium-Light,58/76,$12.00/8 ounces,December2021,9,8,9,9,8,,
modcup coffee,Panama Hacienda La Esmeralda Gesha,94,"Jersey City, New Jersey","Boquete growing region, western Panama",Light,64/84,$50.00/6 ounces,December2021,9,9,9,9,8,,
Big Island Coffee Roasters,Natural Ka’u Maragogipe,94,"Mountain View, Hawai’i","Ka’u growing region, Big Island of Hawai’i",Medium-Light,62/78,$19.00/4 ounces,December2021,9,8,9,9,9,,
PT’s Coffee Roasting Co.,Costa Rica Volcan Azul San Isidro Red Honey,95,"Topeka, Kansas","Poás Volcano region, Alajuela Province, Costa Rica",Medium-Light,58/76,$22.00/12 ounces,December2021,9,9,9,9,9,,
Red Rooster Coffee Roaster,Ethiopia Demeka Becha,96,"Floyd, Virginia","Bona Zuria, Sidama Region, Ethiopia",Medium-Light,60/78,$21.99/12 ounces,December2021,9,9,9,10,9,,
Red Rooster Coffee Roaster,Sweet Holiday Blend,94,"Floyd, Virginia",Colombia; Guatemala; Costa Rica; Ethiopia,Medium-Light,58/76,$20.99/12 ounces,December2021,9,9,9,9,8,,
Willoughby's Coffee & Tea,Panama Abu Geisha Lot 6,95,Branford Connecticut,"Cañas Verdes, Boquete growing region, Panama",Medium-Light,58/80,$75.00/12 ounces,December2021,9,9,9,9,9,,
Paradise Roasters,Philippines Sitio Belis,93,"Minneapolis, Minnesota","Benguet, Philippines",Medium-Light,60/78,$20.00/6 ounces,November2021,9,9,8,9,8,,
Jaunt Coffee Roasters,Ethiopia Bedessa,92,"San Diego, California","Guji Zone, southern Ethiopia",Medium-Light,60/76,$25.00/12 ounces,November2021,9,9,8,9,7,,
Hula Daddy Kona Coffee,Espresso,94,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/80,$62.95/8 ounces,November2021,9,,9,9,8,9,
Mr. Espresso,Organic Ethiopia Shantawene Natural,92,"Oakland, California","Sidama (also Sidamo) growing region, southern Ethiopia",Medium-Light,56/78,$17.00/12 ounces,November2021,8,8,9,9,8,,
Coffee By Design,Ethiopia Sidama Durato Bombe,91,"Portland, Maine","Bombe mountains, Sidama Region, southern Ethiopia",Medium-Light,59/77,$18.50/16 ounces,November2021,8,8,8,9,8,,
Old Soul Co.,Ethiopia Lecho Torka,92,"Sacramento, California","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/75,$20.00/12 ounces,November2021,9,8,8,9,8,,
Coffee Cycle,Ethiopia Nano Genji #10,92,"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/80,$16.00/250 grams,November2021,9,8,8,9,8,,
Mr. Espresso,Guatemala CODECH Women’s Lot,90,"Oakland, California","Concepción Huista, Huehuetenango Department, Guatemala",Medium-Light,54/74,$15.00/12 ounces,November2021,8,8,8,8,8,,
Coffee By Design,Ethiopia Yirgacheffe Worka Sakaro Anaerobic,90,"Portland, Maine","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/84,$18.50/12 ounces,November2021,8,8,8,8,8,,
Coffee Cycle,Kenya Kainamui AB,94,"San Diego, California","Kirinyaga County, Kenya",Medium-Light,58/76,$16.50/250 grams,November2021,9,9,9,9,8,,
Hula Daddy Kona Coffee,Kona Mocca®,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,57/78,$89.95/8 ounces,November2021,9,9,9,9,9,,
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/78,$49.95/8 ounces,November2021,9,9,9,9,9,,
Cafe Kreyol,Ethiopian Sweet Lily,93,"Manassas, Virginia","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,56/72,$15.99/12 ounces,November2021,9,9,8,9,8,,
Temple Coffee Roasters,Kenya Gachatha Nyeri,93,"Sacramento, California","Nyeri growing region, south-central Kenya",Medium-Light,58/76,$23.50/12 ounces,November2021,9,8,9,9,8,,
Cafe Kreyol,Bolivia Apolo Latin America Microlot,90,"Manassas, Virginia",Bolivia,Medium-Light,50/77,$15.99/12 ounces,November2021,8,8,9,8,7,,
Temple Coffee Roasters,Ethiopia Gora Kone Sidamo,92,"Sacramento, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,57/79,$20.00/12 ounces,November2021,9,8,8,9,8,,
Cafe Kreyol,Organic 18 Rabbits Honduras,91,"Manassas, Virginia","Marcala, Honduras",Medium-Light,58/74,$12.99/12 ounces,November2021,8,8,8,9,8,,
Theory Coffee Roasters,Ethiopia Olonso Qeka,94,"Redding, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/80,$35.00/300 grams,November2021,9,9,9,9,8,,
Peach Coffee Roasters,Colombia La Estrella Carbonic Maceration,93,"Johns Creek, Georgia","Huila Department, Colombia",Medium-Light,52/70,$28.00/12 ounces,November2021,9,8,9,9,8,,
King's Gambit Coffee,Costa Rica Salazar Black Honey,88,"Belvedere, New Jersey","Llano Bonito de Narajo, Alajuela Province, Costa Rica",Medium-Light,58/76,$21.00/12 ounces,November2021,8,7,8,8,7,,
Hula Daddy Kona Coffee,Holiday Coffee,96,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/80,$49.95/8 ounces,November2021,9,9,9,10,9,,
Paradise Roasters,Mama Cata Mokkita,97,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium-Light,57/79,$150.00/4 ounces,November2021,10,9,9,10,9,,
Genesis Coffee Lab,Ethiopia Tamiru Tadesse Anaerobic,96,"Big Lake, Alaska","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,62/80,$145.00/4 ounces,November2021,9,9,9,10,9,,
Hula Daddy Kona Coffee,Laura’s Reserve SL34,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/78,$62.95/8 ounces,November2021,9,9,9,10,9,,
Genesis Coffee Lab,Ethiopia Tamiru Tadesse Natural,95,"Big Lake, Alaska","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,64/80,$26.50/4 ounces,November2021,9,9,9,9,9,,
Paradise Roasters,Puna Arakawa Estate Lactic Natural,95,"Minneapolis, Minnesota","Kurtistown, Puna, “Big Island” of Hawai’i",Medium-Light,60/78,$30.00/4 ounces,November2021,9,9,9,9,9,,
Hula Daddy Kona Coffee,100% Kona Bourbon Pointu Laurina,95,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/78,$62.95/8 ounces,November2021,9,9,9,9,9,,
Jaunt Coffee Roasters,Colombia Planadas Tolima,93,"San Diego, California","Tolima Department, Colombia",Light,63/83,$23.00/12 ounces,November2021,9,8,9,9,8,,
Durango Coffee Company,Colombia Java El Eden,94,"Durango, Colorado","Tolima Department, Colombia",Medium-Light,58/78,$19.95/12 ounces,November2021,9,9,9,9,8,,
Nostalgia Coffee Roasters,Ethiopia Shantawene Natural,95,"San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,60/76,$22.00/12 ounces,November2021,9,9,9,9,9,,
Jaunt Coffee Roasters,Ethiopia Buno Dambi Uddo,94,"San Diego, California","Odo Shakiso District, Western Guji, Ethiopia",Light,65/83,$25.00/12 ounces,November2021,9,9,9,9,8,,
Magnolia Coffee,Magnolia Blend Espresso,93,"Charlotte, North Carolina",Papua New Guinea; Costa Rica,Medium-Light,52/72,$16.00/12 ounces,November2021,9,,8,9,8,9,
