Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Topeca Coffee Roasters,Brazil Recreio Selectivo,92,"Tulsa, Oklahoma","São Sebastião de Grama, Brazil",Medium-Light,58/80,$13.99/12 ounces,December2018,9,8,8,9,8,,
Red Rooster Coffee Roaster,Ethiopia WORKA,94,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/80,$17.99/12 ounces,December2018,9,9,9,9,8,,
Temple Coffee and Tea,Guatemala Hunapu,93,"Sacramento, California","Antigua growing region, Guatemala",Medium-Light,56/70,$17.50/12 ounces,December2018,9,8,9,9,8,,
Red Rooster Coffee Roaster,Ethiopia Banko Dhadhato Washed,94,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Light,62/82,$17.99/12 ounces,December2018,9,9,9,9,8,,
Temple Coffee and Tea,Kenya Rugeto Peaberry,93,"Sacramento, California","Kirinyaga District, south-central Kenya",Medium,47/64,$20.00/12 ounces,December2018,9,9,8,9,8,,
JBC Coffee Roasters,Gayo Aceh Sumatra,92,"Madison, Wisconsin","Aceh growing region, Aceh Province, northern Sumatra, Indonesia",Medium-Light,56/76,$16.00/12 ounces,December2018,9,8,8,9,8,,
Coava Coffee Roasters,Kenya Karuthi AA,95,"Portland, Oregon","Nyeri growing region, south-central Kenya",Medium-Light,56/72,$15.00/250 grams,December2018,9,9,9,9,9,,
Willoughby's Coffee & Tea,Auromar Geisha Natural,93,"Branford, Connecticut","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,53/75,$55.00/12 ounces,December2018,9,8,9,9,8,,
Olympia Coffee Roasting,Holiday Blend,93,"Olympia, Washington","Yirgacheffe growing region, Ethiopia",Medium-Light,56/80,$19.50/12 ounces,December2018,9,8,9,9,8,,
Revel Coffee,Kith & Kin,93,"Billings, Montana",Ethiopia; Kenya,Medium-Light,54/78,$17.50/12 ounces,December2018,9,9,8,9,8,,
Speckled Ax,El Salvador Pacamara,92,"Portland, Maine","Chalatenango, El Salvador",Medium-Light,55/75,$25.00/12 ounces,December2018,9,8,8,9,8,,
Steadfast Coffee,Guji Oraga Tabe,92,"Nashville, Tennessee","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,52/76,$23.00/12 ounces,December2018,9,8,8,9,8,,
Bar Nine,Baru Gesha,96,"Los Angeles, California","Boquete growing region, western Panama",Medium-Light,55/75,$30.00/250 grams,December2018,9,9,9,10,9,,
Joe Van Gogh Coffee,Colombia El Obraje Gesha,94,"Hillsborough, North Carolina","Narino Department, southern Colombia",Medium-Light,54/74,$24.00/6 ounces,December2018,9,9,9,9,8,,
Red Rooster Coffee Roaster,Holiday Sweet Blend,94,"Floyd, Virginia",Ethiopia; Rwanda; Colombia,Medium-Light,54/76,$16.99/12 ounces,December2018,9,9,9,9,8,,
Bird Rock Coffee Roasters,Camilina Geisha,94,"San Diego, California","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,54/78,$45.00/8 ounces,December2018,9,9,9,9,8,,
Willoughby's Coffee & Tea,Mama Cata Geisha Washed,94,"Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,56/84,$54.00/12 ounces,December2018,9,9,9,9,8,,
Willoughby's Coffee & Tea,Panama Finca Lerida Geisha Black Honey,93,"Branford, Connecticut","Jaramillo, Boquete growing region, western Panama",Medium-Light,50/75,$39.99/12 ounces,December2018,9,8,9,9,8,,
Willoughby's Coffee & Tea,Panama Finca Lerida Geisha Washed,93,"Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,57/79,$39.99/12 ounces,December2018,9,9,8,9,8,,
Ben's Beans,Ethiopia Kayon Mountain,93,"Putnam, Connecticut","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",Medium-Light,53/73,$16.95/12 ounces,November2018,9,8,9,9,8,,
Temple Coffee and Tea,Ethiopia Reko,91,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,53/73,$19.00/12 ounces,November2018,8,8,8,9,8,,
Nella's SOGOOD Coffee,Organic Mocha Java Espresso,90,"Empire, Michigan",Not disclosed,Medium,42/64,$9.00/8 ounces,November2018,8,,8,8,8,8,
Waka Coffee,100% Arabica Freeze-Dried Colombian (Instant Coffee),88,"Los Angeles, California",Colombia,NA,0/0,$10.99/8 single-serve packets,November2018,7,7,8,8,8,,
Espresso Republic,Perla del Otún,91,"Chino, California","Huila, Colombia",Medium-Light,54/74,$15.00/12 ounces,November2018,8,,8,8,9,8,
Espresso Republic,Decaf Classic Espresso,90,"Chino, California","Antioquia, Colombia",Medium,44/60,$16.95/12 ounces,November2018,8,,8,8,7,9,
Espresso Republic,Colombia El Sauce,90,"Chino, California","Santander, Colombia",Medium-Light,51/71,$13.95/12 ounces,November2018,8,8,8,8,8,,
Bird Rock Coffee Roasters,Kiunyu Peaberry,94,"San Diego, California",South-central Kenya,Medium-Light,52/76,$26.00/12 ounces,November2018,9,9,9,9,8,,
